C101, 27.51, 33.08, 90.00, 1uF, C0603
C102, 28.48, 35.90, 180.00, 22nF, C0603
C103, 35.42, 31.32, 270.00, 1uF, C0603
C104, 108.97, 33.31, 90.00, 1uF, C0603
C105, 109.94, 36.27, 180.00, 22nF, C0603
C106, 116.47, 33.26, 90.00, 1uF, C0603
C201, 122.26, 22.37, 0.00, 4.7uF, C0603
C202, 121.33, 19.54, 270.00, 4.7uF, C0603
C301, 87.20, 33.90, 90.00, 15pF, C0603
C302, 90.70, 33.90, 90.00, 15pF, C0603
C303, 75.70, 33.20, 270.00, 27pF, C0603
C304, 80.50, 37.10, 0.00, 27pF, C0603
C305, 96.65, 11.41, 270.00, 100nF, C0603
C306, 72.73, 20.70, 180.00, 100nF, C0603
C307, 75.80, 13.18, 270.00, 100nF, C0603
C308, 94.80, 11.43, 270.00, 100nF, C0603
C309, 93.92, 21.80, 0.00, 100nF, C0603
C310, 93.92, 23.70, 0.00, 100nF, C0603
C401, 39.15, 18.55, 180.00, 100nF, C0603
D1, 63.70, 32.50, 270.00, PESD5V0S1BA,115, SOD2512X110N
D101, 127.90, 20.00, 0.00, DRTR5V0U2SR-7, PRTR5V0U2X
D102, 130.50, 30.60, 270.00, SDM2U20SD3-7, SOD2513X120N
D2, 31.00, 11.20, 180.00, PESD5V0S1BA,115, SOD2512X110N
D501, 17.67, 32.20, 0.00, SDM2U20SD3-7, SOD2513X120N
F101, 122.37, 32.28, 180.00, MF-NSML300/6-2, 1206L075SLYR
IC101, 30.89, 33.13, 180.00, RT9193-33GB, SOT94P279X130-5N
IC102, 112.34, 33.33, 180.00, RT9193-33GB, SOT94P279X130-5N
J101, 132.17, 20.00, 90.00, 12402012E212A, AMPHENOL_12402012E212A
J2, 47.47, 18.24, 0.00, Vertical Qwiic Connector, JST04_1MM_VERT
J304, 54.65, 8.36, 180.00, 47219-2001, 472192001
J6, 102.00, 5.00, 0.00, 3220-14-0300-00, 322014030000
LED101, 21.99, 36.21, 90.00, RED, LED_CHIP_0603
LED102, 102.45, 36.39, 90.00, RED, LED_CHIP_0603
LED401, 126.30, 5.10, 180.00, 150505M173300, 150505M173300
R101, 35.42, 34.91, 90.00, 100K, R0603
R102, 21.88, 34.28, 0.00, 4.7K, R0603
R103, 21.88, 32.21, 180.00, 0E, R0603
R104, 102.42, 34.50, 180.00, 4.7K, R0603
R105, 102.42, 32.39, 180.00, 0E, R0603
R106, 128.00, 15.00, 90.00, 5.1K, R0603
R107, 128.00, 26.00, 270.00, 5.1K, R0603
R201, 106.95, 13.21, 90.00, 0E, R0603
R202, 109.10, 13.18, 90.00, 0E, R0603
R203, 122.60, 26.90, 0.00, 1K, R0603
R301, 42.60, 10.28, 0.00, 10K/DNP, R0603
R302, 42.59, 8.24, 0.00, 10K, R0603
R303, 42.60, 12.32, 0.00, 10K, R0603
R304, 42.60, 14.35, 0.00, 10K, R0603
R305, 98.55, 21.32, 90.00, 10K, R0603
R306, 70.55, 32.40, 90.00, 10K, R0603
R307, 66.03, 13.62, 90.00, 10K, R0603
R308, 36.20, 8.47, 270.00, 10K, R0603
R309, 89.00, 27.50, 0.00, 10M, R0603
R310, 12.51, 7.55, 0.00, 10K, R0603
R311, 101.32, 22.85, 180.00, 2K2, R0603
R312, 103.06, 25.85, 0.00, 2K2, R0603
R313, 83.30, 29.50, 180.00, 1M, R0603
R401, 114.87, 14.34, 0.00, 100E, R0603
R402, 114.86, 12.30, 0.00, 100E, R0603
R403, 114.86, 10.27, 0.00, 390E, R0603
R404, 40.86, 20.86, 180.00, 10K, R0603
R501, 14.00, 26.13, 0.00, 0E, R0603
R502, 22.99, 8.43, 270.00, 10K/DNP, R0603
R503, 14.00, 23.69, 0.00, 0E, R0603
R504, 25.87, 8.47, 270.00, 10K/DNP, R0603
R505, 14.00, 21.25, 0.00, 0E, R0603
R506, 16.97, 8.45, 90.00, 10K/DNP, R0603
R507, 14.00, 18.81, 0.00, 0E, R0603
R508, 14.00, 16.37, 0.00, 0E, R0603
R509, 14.00, 13.93, 0.00, 0E, R0603
S101, 126.00, 36.68, 180.00, PCM12SMTR, PCM12SMTR
S301, 67.14, 32.47, 270.00, PTS636 SK25F SMTR LFS, TACTILE_SWITCH_SMD_6.0X3.5MM
S302, 35.95, 3.56, 0.00, PCM12SMTR, PCM12SMTR
S303, 114.60, 3.23, 0.00, PCM12SMTR, PCM12SMTR
TP1, 25.04, 32.22, 0.00, TPB1,27, B1,27
TP2, 105.19, 32.38, 0.00, TPB1,27, B1,27
TP3, 92.60, 13.70, 0.00, TPB1,27, B1,27
TP4, 92.60, 9.00, 0.00, TPB1,27, B1,27
TP5, 97.65, 36.33, 0.00, TPB1,27, B1,27
U1, 84.00, 18.00, 270.00, STM32F103RET6TR, QFP50P1200X1200X160-64N
U2, 116.60, 24.40, 90.00, CP2102N-A02-GQFN28R, QFN50P500X500X80-29N
Y1, 89.00, 30.20, 180.00, ABS07-32.768KHZ-T, ABS07
Y2, 80.50, 33.50, 180.00, ABM3B-8.000MHZ-B-2-T, ABM3B8000MHZB2T
